0
smc73-m02: Generating in-memory sample data...
smc73-m02: Done (2.092778743s)
smc73-m02: Running Write test...
smc73-m02: operation Write(1) completed in 1.50s|ServiceUnavailable: Reduce your request rate
smc73-m02: operation Read(29) completed in 16.35s|%!s(<nil>)
smc73-m02: operation Read(30) completed in 16.37s|%!s(<nil>)
smc73-m02: operation Read(31) completed in 16.37s|%!s(<nil>)
smc73-m02: operation Read(32) completed in 16.40s|%!s(<nil>)
smc73-m02: operation Read(33) completed in 16.40s|%!s(<nil>)
smc73-m02: operation Read(34) completed in 16.41s|%!s(<nil>)
smc73-m02: operation Read(35) completed in 16.41s|%!s(<nil>)
smc73-m02: operation Read(36) completed in 16.42s|%!s(<nil>)
smc73-m02: operation Read(37) completed in 16.42s|%!s(<nil>)
smc73-m02: operation Read(38) completed in 16.42s|%!s(<nil>)
smc73-m02: operation Read(39) completed in 16.43s|%!s(<nil>)
smc73-m02: operation Read(40) completed in 16.44s|%!s(<nil>)
smc73-m02: operation Read(41) completed in 16.44s|%!s(<nil>)
smc73-m02: operation Read(42) completed in 16.44s|%!s(<nil>)
smc73-m02: operation Read(43) completed in 16.44s|%!s(<nil>)
smc73-m02: operation Read(44) completed in 16.44s|%!s(<nil>)
smc73-m02: operation Read(45) completed in 16.45s|%!s(<nil>)
smc73-m02: operation Read(46) completed in 16.46s|%!s(<nil>)
smc73-m02: operation Read(47) completed in 16.46s|%!s(<nil>)
smc73-m02: operation Read(48) completed in 16.46s|%!s(<nil>)
smc73-m02: operation Read(49) completed in 16.46s|%!s(<nil>)
smc73-m02: operation Read(50) completed in 16.46s|%!s(<nil>)
smc73-m02: operation Read(51) completed in 16.46s|%!s(<nil>)
smc73-m02: operation Read(52) completed in 16.47s|%!s(<nil>)
smc73-m02: operation Read(53) completed in 16.47s|%!s(<nil>)
smc73-m02: operation Read(54) completed in 16.47s|%!s(<nil>)
smc73-m02: operation Read(55) completed in 16.48s|%!s(<nil>)
smc73-m02: operation Read(56) completed in 16.48s|%!s(<nil>)
smc73-m02: operation Read(57) completed in 16.49s|%!s(<nil>)
smc73-m02: operation Read(58) completed in 16.49s|%!s(<nil>)
smc73-m02: operation Read(59) completed in 16.49s|%!s(<nil>)
smc73-m02: operation Read(60) completed in 16.49s|%!s(<nil>)
smc73-m02: operation Read(61) completed in 16.49s|%!s(<nil>)
smc73-m02: operation Read(62) completed in 16.49s|%!s(<nil>)
smc73-m02: operation Read(63) completed in 16.50s|%!s(<nil>)
smc73-m02: operation Read(64) completed in 16.50s|%!s(<nil>)
smc73-m02: Cleaning up 64 objects...
smc73-m02: Deleting a batch of 64 objects in range {0, 63}...  done in 1.889454913s | err <nil>
smc73-m02: Deleting bucket...
smc73-m02: Succeeded
smc73-m02: {"Parameters":{"TLSHandshakeTimeout":0,"bucket":"bmax","connectTimeout":0,"deleteAtOnce":1000,"deleteClients":1,"deleteOnly":false,"endpoints":["https://s3.seagate.com"],"getObjTag":false,"headObj":false,"httpClientTimeout":0,"idleConnTimeout":0,"jsonOutput":true,"maxIdleConnsPerHost":0,"multipartSize":0,"numClients":64,"numSamples":64,"numTags":10,"objectNamePrefix":"loadgen_test","objectSize (MB)":256,"protocolDebug":0,"putObjTag":false,"readObj":true,"reportFormat":"Version;Parameters;Parameters:numClients;Parameters:numSamples;Parameters:objectSize (MB);Parameters:sampleReads;Parameters:readObj;Parameters:headObj;Parameters:putObjTag;Parameters:getObjTag;Tests:Operation;Tests:RPS;Tests:Total Requests Count;Tests:Errors Count;Tests:Total Throughput (MB/s);Tests:Total Duration (s);Tests:Total Transferred (MB);Tests:Duration Max;Tests:Duration Avg;Tests:Duration Min;Tests:Ttfb Max;Tests:Ttfb Avg;Tests:Ttfb Min;-Tests:Duration 25th-ile;-Tests:Duration 50th-ile;-Tests:Duration 75th-ile;-Tests:Ttfb 25th-ile;-Tests:Ttfb 50th-ile;-Tests:Ttfb 75th-ile;","responseHeaderTimeout":0,"s3Disable100Continue":false,"s3MaxRetries":-1,"sampleReads":1,"skipRead":false,"skipWrite":false,"tagNamePrefix":"tag_name_","tagValPrefix":"tag_val_","validate":false,"verbose":true,"zero":false},"Tests":[{"Duration 25th-ile":15.048579414,"Duration 50th-ile":15.513384357,"Duration 75th-ile":15.844895459,"Duration 90th-ile":16.392097506,"Duration 99th-ile":18.379326793,"Duration Avg":15.257481601746033,"Duration Max":18.379326793,"Duration Min":9.742655584,"Errors":["Write(1) completed in 1.50s with error ServiceUnavailable: Reduce your request rate\n\tstatus code: 503, request id: , host id: "],"Errors Count":1,"Operation":"Write","RPS":3.2629953785042303,"Total Duration (s)":19.000946311,"Total Requests Count":63,"Total Throughput (MB/s)":848.7998300728423,"Total Transferred (MB)":16128,"Ttfb 25th-ile":15.048579049,"Ttfb 50th-ile":15.513383975,"Ttfb 75th-ile":15.844895359,"Ttfb 90th-ile":16.392097356,"Ttfb 99th-ile":18.379326648,"Ttfb Avg":15.257481383174596,"Ttfb Max":18.379326648,"Ttfb Min":9.742655162},{"Duration 25th-ile":15.991681235,"Duration 50th-ile":16.402249853,"Duration 75th-ile":16.458544433,"Duration 90th-ile":16.490642561,"Duration 99th-ile":16.496246207,"Duration Avg":14.852492767936507,"Duration Max":16.496246207,"Duration Min":1.445976666,"Errors":["Read(1) completed in 0.10s with error NoSuchKey: The specified key does not exist.\n\tstatus code: 404, request id: 830ee723-8fcc-4931-b2a8-076eaf55a54b, host id: "],"Errors Count":1,"Operation":"Read","RPS":3.758316618814228,"Total Duration (s)":16.496747424,"Total Requests Count":63,"Total Throughput (MB/s)":977.6472649715463,"Total Transferred (MB)":16128,"Ttfb 25th-ile":0.409254519,"Ttfb 50th-ile":0.535750548,"Ttfb 75th-ile":0.575755893,"Ttfb 90th-ile":0.609921238,"Ttfb 99th-ile":0.698345159,"Ttfb Avg":0.4926191804603173,"Ttfb Max":0.698345159,"Ttfb Min":0.214846354}],"Version":"2021-02-04-04:50:32-04b03ce50b88c07fe8bf0e60b74af03dfbc12c38"}
