cfg	 operation	 errors	 total_duration	 total_throughput	 duration_min	 duration_avg	 duration_max	 duration_99th-ile	 ttfb_min	 ttfb_avg	 ttfb_max	 ttfb_99th-ile	 numClients	 numSamples	 objectSize	 
1c_10ko_16mb.json	 "Read"	 0	 754.479871	 212.066625	 0.039110	 0.075447	 0.177389	 0.126585	 0.013815	 0.031001	 0.123589	 0.074284	 1	 10000	 16.000000	 
1c_10ko_1kb.json	 "Write"	 0	 261.219118	 0.037385	 0.008069	 0.026119	 0.176087	 0.062473	 0.008069	 0.026119	 0.176087	 0.062472	 1	 10000	 0.000977	 
1c_10ko_1kb.json	 "Read"	 0	 413.371261	 0.023624	 0.009614	 0.041335	 0.110462	 0.080888	 0.009588	 0.041307	 0.110434	 0.080861	 1	 10000	 0.000977	 
1c_10ko_1mb.json	 "Write"	 0	 185.226535	 53.987945	 0.011648	 0.018520	 0.088149	 0.037250	 0.011648	 0.018520	 0.088148	 0.037249	 1	 10000	 1.000000	 
1c_10ko_1mb.json	 "Read"	 0	 303.540236	 32.944562	 0.010310	 0.030352	 0.113021	 0.054024	 0.008003	 0.011099	 0.072725	 0.025136	 1	 10000	 1.000000	 
1c_10ko_256kb.json	 "Write"	 0	 416.396548	 6.003892	 0.013181	 0.041637	 0.123622	 0.081235	 0.013180	 0.041636	 0.123622	 0.081235	 1	 10000	 0.250000	 
1c_10ko_256kb.json	 "Read"	 0	 479.257418	 5.216403	 0.009796	 0.047924	 0.166759	 0.090117	 0.008316	 0.031370	 0.127254	 0.061578	 1	 10000	 0.250000	 
1c_10ko_256mb.json	 "Write"	 0	 19101.836026	 134.018531	 1.331280	 1.910178	 2.247278	 2.117101	 1.331280	 1.910177	 2.247277	 2.117101	 1	 10000	 256.000000	 
1c_10ko_256mb.json	 "Read"	 0	 6073.622758	 421.494733	 0.390756	 0.607361	 0.945834	 0.847910	 0.148298	 0.179798	 0.399704	 0.323005	 1	 10000	 256.000000	 
1c_5o_50gb.json	 "Write"	 0	 1291.737679	 198.182653	 255.602275	 258.347501	 261.329848	 261.329848	 255.602275	 258.347500	 261.329847	 261.329847	 1	 5	 51200.000000	 
1c_5o_50gb.json	 "Read"	 0	 497.306413	 514.773173	 94.626648	 99.461255	 105.565437	 105.565437	 31.497208	 33.932602	 36.197109	 36.197109	 1	 5	 51200.000000	 
20c_10ko_16kb.json	 "Write"	 0	 98.846177	 1.580739	 0.008950	 0.176615	 20.235677	 0.147965	 0.008949	 0.176615	 20.235677	 0.147964	 20	 10000	 0.015625	 
20c_10ko_16kb.json	 "Read"	 0	 40.953346	 3.815317	 0.008497	 0.081822	 0.192975	 0.160372	 0.006286	 0.054800	 0.155210	 0.128844	 20	 10000	 0.015625	 
20c_10ko_16mb.json	 "Write"	 0	 423.148264	 378.118058	 0.419760	 0.845582	 2.301358	 1.412434	 0.419759	 0.845582	 2.301358	 1.412433	 20	 10000	 16.000000	 
20c_10ko_16mb.json	 "Read"	 0	 170.207198	 940.030749	 0.038147	 0.340287	 0.787819	 0.699144	 0.008140	 0.091361	 0.462087	 0.357711	 20	 10000	 16.000000	 
20c_10ko_1kb.json	 "Write"	 0	 37.220560	 0.262372	 0.014441	 0.074306	 0.200452	 0.159615	 0.014440	 0.074305	 0.200452	 0.159614	 20	 10000	 0.000977	 
20c_10ko_1kb.json	 "Read"	 0	 32.074982	 0.304462	 0.010406	 0.064016	 0.197672	 0.147945	 0.010360	 0.063945	 0.197626	 0.147809	 20	 10000	 0.000977	 
20c_10ko_1mb.json	 "Write"	 0	 56.682158	 176.422358	 0.019197	 0.113224	 0.300177	 0.227856	 0.019197	 0.113224	 0.300176	 0.227856	 20	 10000	 1.000000	 
