label, numClients, objectSize (MB), Operation, RPS, Total Requests Count, Errors Count, Total Throughput (MB/s), Total Duration (s), Total Transferred (MB), Duration Max, Duration Avg, Duration Min, Ttfb Max, Ttfb Avg, Ttfb Min, Duration 90th-ile, Duration 99th-ile, Ttfb 90th-ile, Ttfb 99th-ile, Operation, RPS, Total Requests Count, Errors Count, Total Throughput (MB/s), Total Duration (s), Total Transferred (MB), Duration Max, Duration Avg, Duration Min, Ttfb Max, Ttfb Avg, Ttfb Min, Duration 90th-ile, Duration 99th-ile, Ttfb 90th-ile, Ttfb 99th-ile
small256kb-nw, 128, 0.25, Write, 95.50476960351223, 9216, 0, 23.876192400878057, 96.497798364, 2304, 3.207550316, 1.3249663174444408, 0.462805644, 3.207550025, 1.3249660072308984, 0.462805462, 1.6454137549999999, 2.352179952, 1.645413505, 2.352179772, Read, 760.3208863174619, 138240, 0, 190.08022157936549, 181.81796987, 34560, 2.679622339, 0.16826444043650998, 0.009277441, 2.679281264, 0.1456775465115449, 0.008641688, 0.2889466, 0.935627357, 0.26416449, 0.908594021
small256kb-nw, 256, 0.25, Write, 255.64213509648295, 9216, 0, 63.910533774120736, 36.0503952, 2304, 3.16012355, 0.979936514015515, 0.351451329, 3.160123141, 0.9799363086136059, 0.351451209, 1.48884913, 2.3402663, 1.488849039, 2.340266195, Read, 880.1589233854088, 138240, 0, 220.0397308463522, 157.062544419, 34560, 2.732132348, 0.29062468346555925, 0.009450673, 2.69243318, 0.2675526024015226, 0.009093065, 0.338127159, 0.935193818, 0.308503527, 0.907013396
small256kb-nw, 384, 0.25, Write, 295.9641632931003, 9216, 0, 73.99104082327507, 31.138905121, 2304, 4.932791578, 1.259530331911134, 0.346771974, 4.932791398, 1.259530124827255, 0.346771731, 2.287199914, 4.006994022, 2.287199815, 4.006993941, Read, 795.2946515195109, 138240, 0, 198.82366287987773, 173.822368522, 34560, 3.1586987, 0.4823220677481266, 0.01654548, 3.158057938, 0.4605767703322739, 0.016268727, 0.589968478, 1.339294301, 0.565349971, 1.3143740990000001
small256kb-nw, 512, 0.25, Write, 275.5908021375294, 9216, 0, 68.89770053438235, 33.440883834, 2304, 8.856203579, 1.7968104343271518, 0.393349656, 8.856203495, 1.796810201202797, 0.393349401, 3.859000815, 6.840651276, 3.8590005769999998, 6.840650996, Read, 703.4432867808883, 138240, 0, 175.86082169522209, 196.519040835, 34560, 3.722885833, 0.7258515071648446, 0.01739841, 3.682502352, 0.7039903370477014, 0.016055039, 0.85289696, 1.499584707, 0.826111006, 1.479415731
