label,numClients,objectSize (MB),copies,Operation,RPS,Total Requests Count,Errors Count,Total Throughput (MB/s),Total Duration (s),Total Transferred (MB),Duration Max,Duration Avg,Duration Min,Ttfb Max,Ttfb Avg,Ttfb Min,Duration 90th-ile,Duration 99th-ile,Ttfb 90th-ile,Ttfb 99th-ile,Operation,RPS,Total Requests Count,Errors Count,Total Throughput (MB/s),Total Duration (s),Total Transferred (MB),Duration Max,Duration Avg,Duration Min,Ttfb Max,Ttfb Avg,Ttfb Min,Duration 90th-ile,Duration 99th-ile,Ttfb 90th-ile,Ttfb 99th-ile
addb_c1_s1Kb_cnt20000_2021-7-6,1,0.0009765625,0,Write,47.250679074947,1,0,0.04614324128412793,0.021163717,0.0009765625,0.020955192,0.020955192,0.020955192,0.020954905,0.020954905,0.020954905,0.020955192,0.020955192,0.020954905,0.020954905,Read,360.88920458517345,20000,0,0.35243086385270844,55.418670733,19.53125,0.061192617,0.0027280997859500046,0.001808617,0.061182439,0.002713195866800006,0.001797167,0.003333712,0.004600871,0.003317141,0.004585607
addb_c1_s1Kb_cnt20000_2021-7-6,1,0.0009765625,0,Write,26.384553173898162,1,0,0.025766165208884924,0.037900964,0.0009765625,0.037513783,0.037513783,0.037513783,0.037513534,0.037513534,0.037513534,0.037513783,0.037513783,0.037513534,0.037513534,Read,365.93533781198084,20000,0,0.35735872833201254,54.654464692,19.53125,0.073558546,0.0026533845870000124,0.001767321,0.073536397,0.002638512512099993,0.001756756,0.003272583,0.004712601,0.003255497,0.004694945
addb_c1_s1Kb_cnt20000_2021-7-6,1,0.0009765625,0,Write,46.66318777047442,1,0,0.04556951930710393,0.021430169,0.0009765625,0.021139361,0.021139361,0.021139361,0.021139079,0.021139079,0.021139079,0.021139361,0.021139361,0.021139079,0.021139079,Read,390.2392598634409,20000,0,0.3810930272103915,51.250609708,19.53125,0.102306192,0.0025148614174000028,0.001752758,0.10228084,0.002499982257600005,0.001745286,0.003172183,0.004467281,0.003155931,0.004424997
addb_c1_s1Kb_cnt20000_2021-7-6,1,0.0009765625,0,Write,37.4129372889583,1,0,0.03653607157124834,0.026728722,0.0009765625,0.026531518,0.026531518,0.026531518,0.026531225,0.026531225,0.026531225,0.026531518,0.026531518,0.026531225,0.026531225,Read,380.122352264158,20000,0,0.3712132346329668,52.614638105,19.53125,0.03804789,0.0025734543844999976,0.001725364,0.038037919,0.002559640221099997,0.00171719,0.003197969,0.004683908,0.003183427,0.004672629
addb_c1_s1Kb_cnt20000_2021-7-6,1,0.0009765625,0,Write,45.358585243954124,1,0,0.04429549340229895,0.022046543,0.0009765625,0.021800297,0.021800297,0.021800297,0.02179994,0.02179994,0.02179994,0.021800297,0.021800297,0.02179994,0.02179994,Read,365.68354279998016,20000,0,0.3571128347656056,54.692097563,19.53125,0.067429609,0.0026952191686,0.001785309,0.067421231,0.00268113531164998,0.00177609,0.003351841,0.004831925,0.003336339,0.004812716
